,ds,Actual_Close,Prediction_all,Variance_all%,Prediction_Vol,Variance_Vol%,Prediction_MR,Variance_MR%,Prediction_MRT,Variance_MRT%
0,2022-01-03,182.00999450683597,178.43374236930546,1.9648658015844207,179.18732250180122,1.5508335202596428,175.85240822570952,3.383103382762408,176.84853406463924,2.8358115477020536
1,2022-01-04,179.6999969482422,178.51274779632794,0.6606840133982862,179.92032114606394,-0.12260667866633962,176.26009315169557,1.9142481107205525,177.1745489911274,1.4053689482488787
2,2022-01-05,174.9199981689453,178.60492512004555,-2.106635598944596,180.36706284713665,-3.1140319775960252,176.58986550931115,-0.9546463285192869,177.50285310967848,-1.4765921379890123
3,2022-01-06,172.0,178.59012678027665,-3.8314690583003768,180.68109980770774,-5.047151050992872,176.9682733169421,-2.8885309982221443,177.72684465032174,-3.329560843210313
4,2022-01-07,172.1699981689453,178.69402686993539,-3.789294749592921,181.10885454116317,-5.191878066610898,177.19393545268377,-2.918009721303837,178.0567114279098,-3.4191283740318212
5,2022-01-10,172.19000244140625,178.75519048291784,-3.8127579699324454,182.2611559279705,-5.848860760653807,177.93061375108067,-3.3338818910975205,178.5700496359381,-3.705236717621209
6,2022-01-11,175.0800018310547,178.83419590993802,-2.144273497612811,182.99415457223202,-4.520306521823194,178.33829867706737,-1.8610331345305855,178.89606456242709,-2.1796108587288843
7,2022-01-12,175.52999877929688,178.92637323365497,-1.9349253563366888,183.44089627330408,-4.506863527045306,178.668071034683,-1.7877697699592638,179.22436868097805,-2.104694312865744
8,2022-01-13,172.19000244140625,178.91157489388567,-3.903578812461353,183.75493323387505,-6.716377622681188,179.04647884231417,-3.9819247945252116,179.4483602216215,-4.2153189368152555
9,2022-01-14,173.07000732421875,179.01547498355396,-3.4352963585408145,184.1826879673361,-6.420916492075684,179.2721409780538,-3.583598192271619,179.7782269992071,-3.876015133241191
